1-3 Credits,,,
Member,,,
Subteam  Attendance,10,,
Full team Attendance,10,,
Workshop Attendance,15,,
Forms,5,,
Learning goals,10,,
Mid semester check-in,5,,
Mid semester deliverable,15,,
Final deliverable,20,,
Reflection,10,,
,,,
,100%,,
,,,
,,,
3 Credits,,,
Full team lead,,,
Subteam Meetings,10%,,
"Full team Meetings + 
Presentations",15%,,
Workshops,10%,,
Leads Meetings,15%,,
Engineering Project team Leads Meetings,10%,,
Team Organization and Communication,30%,,
Communication with Advisor,5%,,
Semester Report ,7.50%,,
Reflections,7.50%,,
,,,
,100%,,
,,,
3 Credits,,,
Subteam Leads,,,
"Subteam Meetings + 
Presentations",15%,,
Full team Meetings,5%,,
Workshops,10%,,
Leads Meetings,10%,,
Organization and Communication ,25%,,
Team Check-ins,15%,,
Semester Reports,15%,,
Reflections,5%,,
,0%,,
,100%,,
,,,
Conversion ,,,
A,,>,93%
A-,90%,-,93%
B+,87%,-,90%
B,83%,-,87%
B-,80%,-,83%
C+,77%,-,80%
C,73%,-,77%
C-,70%,-,73%
